"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"144","GALCYA02",3,3,1,1,1,1
"145","GRW04",3,3,1,1,2,3
"146","HEMATR01",2,3,1,3,1,2
"147","HYPSTR04",1,3,1,3,1,1
"148","HYPSTR07",2,3,1,3,1,1
"149","ILMIL01",1,3,1,2,1,1
"150","LECOR02",1,3,1,3,1,1
"151","MYFUM01",1,3,1,3,1,1
"152","MYIFLA02",1,3,2,3,1,1
"153","NYMAC01",1,3,1,3,1,1
"154","PAPOL07",1,3,2,3,1,1
"155","PHAMAL02",2,3,1,3,1,1
"156","PHASYR02",2,3,1,3,1,1
"157","PIPFAS02",2,3,1,3,1,1
"158","RAMCAR01",2,3,2,3,2,2
"159","TACRUB02",1,3,1,1,1,1
"160","THSAY01",1,3,1,2,1,1
"161","TRMEL02",2,3,2,3,2,1
"162","TRMUS02",2,3,1,2,2,2
"163","TROAED01",2,3,1,1,1,1
"164","TROAED02",3,3,1,1,1,1
"165","TROAED06",2,3,1,1,1,1
"166","TROAED18",3,3,2,3,1,2
"167","TULEU07",2,3,2,2,2,1
"168","WILPOE02",2,3,1,3,1,1
"169","BASFUL01",2,2,1,2,1,1
"170","CALON01",1,2,2,2,1,1
"171","CERCIN02",2,2,1,2,2,2
"172","CERERY01",2,2,1,2,1,1
"173","CHLOP01",2,2,1,2,2,2
"174","COLL4",2,2,1,1,1,2
"175","COLSQU03",1,2,1,1,1,1
"176","COMEL01",2,2,1,1,2,1
"177","CONCAS01",2,2,1,2,1,1
"178","CORPIL02",1,2,1,1,1,1
"179","CORPIL03",2,2,1,2,1,1
"180","CYPHIR04",1,2,1,1,1,1
"181","DENAUT01",2,2,2,2,2,2
"182","DENFUL01",2,2,1,2,1,1
"183","DENMER01",2,2,1,2,1,1
"184","DENMER02",2,2,1,2,1,1
"185","DENVID01",2,2,1,2,2,2
"186","DIGCYA02",2,2,1,1,1,1
"187","DYSMEN02",1,2,1,2,1,1
"188","DYSMEN04",2,2,1,1,1,1
"189","ELFLA01",1,2,2,2,1,1
"190","EMPOBE02",2,2,1,2,1,2
"191","EUMIN01",2,2,1,2,2,2
"192","FOLEU01",2,2,1,1,1,1
"193","FORANA02",1,2,1,1,1,1
"194","GYMSAL01",2,2,1,2,1,1
"195","HAECOL1",2,2,1,1,2,2
"196","HEAME01",1,2,2,2,1,1
