"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"623","TROAED19",1,1,1,1,1,1
"624","TROAED21",1,1,1,1,1,1
"625","TROPER02",1,1,1,1,1,1
"626","TULEU05",1,1,1,1,1,1
"627","TULEU08",1,1,1,1,1,1
"628","TUOLI01",1,1,1,1,1,1
"629","TURALB02",1,1,1,1,1,1
"630","TURALB05",1,1,1,1,1,1
"631","TURAMA01",1,1,1,1,1,1
"632","TURAMA03",1,1,1,1,1,1
"633","TURDUS2",1,1,1,1,1,1
"634","TURFAL06",1,1,1,1,1,1
"635","TURFLA01",1,1,1,1,1,1
"636","TURNUD02",1,1,1,1,1,1
"637","TYRMEL01",1,1,1,1,1,1
"638","U12",1,1,1,1,1,1
"639","VIGLOG",1,1,1,1,1,1
"640","VILEU01",1,1,1,1,1,1
"641","VIOLI03",1,1,1,1,1,1
"642","VIOLI07",1,1,1,1,1,1
"643","VIOLI08",1,1,1,1,1,1
"644","VIREO02",1,1,1,1,1,1
"645","VIROLI01",1,1,1,1,1,1
"646","VIROLI02",1,1,1,1,1,1
"647","WILPOE01",1,1,1,1,1,1
"648","WILPOE05",1,1,1,1,1,1
"649","WILPOE06",1,1,1,1,1,1
"650","WILPOE07",1,1,1,1,1,1
"651","WILPOE08",1,1,1,1,1,1
"652","WILPOE09",1,1,1,1,1,1
"653","WILPOE11",1,1,1,1,1,1
"654","WILPOE12",1,1,1,1,1,1
"655","WILPOE16",1,1,1,1,1,1
"656","WILPOE20",1,1,1,1,1,1
"657","XENATR01",1,1,1,1,1,1
"658","XENMIN01",1,1,1,1,1,1
"659","XENMIN02",1,1,1,1,1,1
"660","XENMIN03",1,1,1,1,1,1
"661","XIPELE01",1,1,1,1,1,1
"662","XIPELE02",1,1,1,1,1,1
"663","XIPOBS01",1,1,1,1,1,1
"664","XIPOCE01",1,1,1,1,1,1
"665","XIPOCE02",1,1,1,1,1,1
"666","XIPPAR01",1,1,1,1,1,1
"667","ZC2",1,1,1,1,1,1
"668","ZEMAC03",1,1,1,1,1,1
"669","ZENAUR01",1,1,1,1,1,1
"670","ZOCAP11",1,1,1,1,1,1
"671","ZOCAP12",1,1,1,1,1,1
"672","ZOCAP13",1,1,1,1,1,1
"673","ZONCAP01",1,1,1,1,1,1
"674","ZONCAP03",1,1,1,1,1,1
"675","ZONCAP04",1,1,1,1,1,1
