"","Lineage_Name","site","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"104","LEPCOR03","Wisui",1,4,1,4,1,1
"105","MACPYR01","Rond5",1,4,1,4,1,1
"106","MYITYR01","Brasilandia_de_Minas",1,4,1,1,1,1
"107","MYRMYO01","Rond1",1,4,1,3,1,1
"108","MYRMYO01","Wisui",1,4,1,4,1,1
"109","NYSMAC01","Bra1",1,4,1,2,1,1
"110","PADOM09","Esp1",1,4,3,4,1,1
"111","PADOM09","Jequitinhonha",1,4,2,2,1,1
"112","PADOM09","Mata_Seca",1,4,2,4,1,1
"113","PAMIT01","CLBI-Parnamirim/RN",1,4,2,4,1,1
"114","PAPOL01","Salto_da_Divisa",1,4,2,4,1,1
"115","PHAMAL01","Loreto",1,4,1,3,1,1
"116","PHLNIG03","Rond1",1,4,1,2,1,1
"117","Plasmodiumnucleophilum","Mata_Seca",1,4,1,4,1,1
"118","TACRUB01","Ina2",1,4,1,1,1,1
"119","THAMB03","Salto_da_Divisa",1,4,1,1,1,1
"120","THAMUR01","Ina2",1,4,1,3,1,1
"121","THASAT01","Rond1",1,4,1,4,1,1
"122","THASAT06","Rond1",1,4,1,4,1,1
"123","THCAE01","Bocaiuva",1,4,1,2,1,1
"124","TRMUS01","Hual5",1,4,1,1,1,1
"125","TROAED15","Chaucha",1,4,1,2,1,1
"126","TROAED15","Podocarpus_NP",1,4,1,4,1,1
"127","TROAED20","Hual4",1,4,1,3,1,1
"128","TUMIG03","Felixlandia",1,4,1,1,1,1
"129","TUMIG03","Sfr1",1,4,2,3,1,1
"130","TURALB01","Sfr1",1,4,2,2,1,1
"131","VOLJAC03","Bra1",1,4,1,1,1,1
"132","AUTPAR01","Rond1",1,3,1,3,1,1
"133","BAEBIC02","Ucumari_NP,_La_Pastora",1,3,1,3,1,1
"134","BAFLA01","Jequitinhonha",1,3,1,2,1,1
"135","BAFLA02","ESEC-Serra_Negra_do_Norte/RN",1,3,1,1,1,1
"136","BAFLA03","Bocaiuva",1,3,1,2,1,1
"137","BAFLA03","ESEC-Serra_Negra_do_Norte/RN",1,3,2,3,1,1
"138","BAFLA03","Jequitinhonha",1,3,1,1,1,1
"139","BAFLA04","Felixlandia",1,3,1,1,1,1
"140","BAFLA04","Mil1",1,3,1,2,1,1
"141","BAHYP01","Brasilandia_de_Minas",1,3,1,1,1,1
"142","CAOBS01","Brasilandia_de_Minas",1,3,1,2,1,1
"143","CATUST05","Anco_Cahua",1,3,1,1,1,1
"144","CATUST06","Hual3",1,3,1,2,1,1
"145","COLIN05","Manga",1,3,1,1,1,1
"146","COLIN16","Jequitinhonha",1,3,1,2,1,1
"147","COPIC01","Mata_Seca",1,3,1,2,1,1
"148","COTAL01","Salto_da_Divisa",1,3,2,2,1,1
"149","CYCYAN01","Hual3",1,3,1,3,1,1
"150","DENPET03","Taiama",1,3,1,1,1,1
"151","DETUR01","Rond1",1,3,1,3,1,1
"152","DETUR01","Sooretama",1,3,1,1,1,1
"153","DIGCYA01","Cerro_Bosco",1,3,1,1,1,1
"154","DIGLAF01","Bosque_Palacio",1,3,1,3,1,1
"155","DIGLAF01","Hual3",1,3,1,3,1,1
"156","ELALB01","Jequitinhonha",1,3,1,1,1,1
"157","FORCOL06","Ina3",1,3,1,1,1,1
"158","FORCOL07","Gui2",1,3,1,1,1,1
"159","FURLEU01","Esp1",1,3,1,2,1,1
"160","GALLUS01","Salto_da_Divisa",1,3,1,1,1,1
"161","GLYSPI06","Gui2",1,3,1,1,1,1
"162","HYPSTR04","Rond1",1,3,1,3,1,1
"163","ICTCAY01","Pan1",1,3,1,1,1,1
"164","ILMIL01","Nova_Lima",1,3,1,2,1,1
"165","LEAMA01","Felixlandia",1,3,1,1,1,1
"166","LECOR02","CLBI-Parnamirim/RN",1,3,1,3,1,1
"167","LEPCOR04","Rond3",1,3,1,3,1,1
"168","MYFUM01","Sierra_Nevada_de_Santa_Marta",1,3,1,3,1,1
"169","MYIFLA02","Sierra_Nevada_de_Santa_Marta",1,3,2,3,1,1
"170","MYITYR01","Ser1",1,3,1,1,1,1
"171","MYRAXI01","Xing1",1,3,1,2,1,1
"172","MYRMAX01","Gui2",1,3,1,1,1,1
"173","MYSWA01","Bocaiuva",1,3,2,2,1,1
"174","NEOFAS01","Bra1",1,3,1,1,1,1
"175","NYMAC01","CLBI-Parnamirim/RN",1,3,1,3,1,1
"176","NYSMAC01","Xing1",1,3,1,2,1,1
"177","NYSMAC03","ESEC-Serra_Negra_do_Norte/RN",1,3,2,2,1,1
"178","PADOM09","Aeroporto_Viracopos",1,3,2,2,1,1
"179","PADOM09","Bocaiuva",1,3,2,2,1,1
"180","PADOM09","Brasilandia_de_Minas",1,3,2,2,1,1
"181","PADOM09","Cha1",1,3,1,2,1,1
"182","PADOM09","Pan1",1,3,1,3,1,1
"183","PADOM09","Salto_da_Divisa",1,3,2,3,1,1
"184","PADOM11","Aeroporto_de_BSB",1,3,1,2,1,1
"185","PADOM11","Bra1",1,3,1,2,1,1
"186","PADOM11","Gra1",1,3,1,1,1,1
"187","PADOM11","Jequitinhonha",1,3,1,1,1,1
"188","PAPOL07","Mata_Seca",1,3,2,3,1,1
"189","PHPAT01","Mata_Seca",1,3,1,3,1,1
"190","PYLEU01","Salto_da_Divisa",1,3,1,1,1,1
"191","SGS1","Pantanos_de_Villa_wtland_Reserve",1,3,1,3,1,1
"192","TACRUB02","Nat1",1,3,1,1,1,1
"193","TANICT01","Hual4",1,3,1,3,1,1
"194","THACAE01","Gui2",1,3,1,1,1,1
"195","THAMAE01","Ina3",1,3,1,3,1,1
"196","THAMAE01","Tap1",1,3,1,3,1,1
"197","THASAT10","Rond4",1,3,1,1,1,1
"198","THCAE01","Nova_Lima",1,3,1,1,1,1
"199","THSAY01","Bocaiuva",1,3,1,2,1,1
"200","TROAED15","Cerro_Bosco",1,3,1,1,1,1
"201","TROAED15","Yanayacu",1,3,1,1,1,1
"202","TUAMA01","Bocaiuva",1,3,2,2,1,1
"203","TURALB03","Seb1",1,3,1,2,1,1
"204","TURUF01","Aeroporto_de_BSB",1,3,2,2,1,1
"205","TURUF03","Saj1",1,3,1,1,1,1
"206","VIOLI06","Aiu1",1,3,1,2,1,1
"207","VOLJAC02","Cha1",1,3,1,3,1,1
"208","ARBRU02","Hual3",1,2,1,1,1,1
"209","ARRTAC01","Rond1",1,2,1,1,1,1
"210","AUTPAR01","Ina2",1,2,1,2,1,1
"211","AUTPAR01","Rond2",1,2,1,2,1,1
"212","BAEBIC02","Cedral",1,2,1,2,1,1
"213","BAEBIC02","Hual3",1,2,1,2,1,1
"214","BAFLA03","Brasilandia_de_Minas",1,2,1,2,1,1
"215","BAFLA03","Manga",1,2,1,2,1,1
"216","BAFLA03","Parque_Nacional_de_Brasí_lia",1,2,2,2,1,1
"217","BAFLA04","Aiu1",1,2,1,2,1,1
"218","BAFLA04","Nat1",1,2,1,1,1,1
"219","BAFLA04","Salto_da_Divisa",1,2,1,2,1,1
"220","BAFLA04","Ser1",1,2,1,1,1,1
"221","BAHYP01","Aeroporto_de_BSB",1,2,1,2,1,1
"222","CALON01","CLBI-Parnamirim/RN",1,2,2,2,1,1
"223","CANLEU01","Rond2",1,2,1,2,1,1
"224","CAOBS01","Gra1",1,2,1,1,1,1
"225","CATUST05","Hual1",1,2,1,2,1,1
"226","COLPAS04","Mil1",1,2,1,1,1,1
"227","COLPIC01","Sta1",1,2,2,2,1,1
"228","COLPLU01","Hual4",1,2,2,2,1,1
"229","COLSQU03","Mil1",1,2,1,1,1,1
"230","COPIL01","Bocaiuva",1,2,1,1,1,1
"231","CORPIL02","Ser1",1,2,1,1,1,1
"232","COSQU01","Felixlandia",1,2,1,1,1,1
"233","COSQU01","Manga",1,2,1,1,1,1
