"","Lineage_Name","Lineage_Genera","n_sites","n_bird_individuals","n_status","riqueza","perlocation","Host_Status","Perlocation"
"586","THATOR01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"587","THPEL01","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"588","THSAY01","Plasmodium",1,3,1,2,0.0158730158730159,"R",0.00641025641025642
"589","THSAY02","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"590","TOFLA03","Parahaemoproteus",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"591","TOLFLA01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"592","TOLFLA02","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"593","TREML02","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"594","TRMB","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"595","TRMEL01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"596","TRMUS02","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"597","TROAED03","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"598","TROAED04","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"599","TROAED05","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"600","TROAED07","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"601","TROAED08","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"602","TROAED09","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"603","TROAED10","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"604","TROAED11","Leucocytozoon",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"605","TROAED12","Haemoproteus",1,2,1,1,0.0158730158730159,"M",0.00641025641025642
"606","TROAED14","Haemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"607","TROAED16","Haemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"608","TROAED17","Haemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"609","TROAED19","Haemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"610","TROAED21","Plasmodium",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"611","TROPER02","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"612","TULEU04","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"613","TULEU05","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"614","TULEU08","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"615","TUOLI01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"616","TURALB02","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"617","TURALB05","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"618","TURAMA01","Plasmodium",1,1,1,1,0.0158730158730159,"PM",0.00641025641025642
"619","TURAMA03","Plasmodium",1,1,1,1,0.0158730158730159,"PM",0.00641025641025642
"620","TURDUS2","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"621","TURFAL06","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"622","TURFLA01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"623","TYRMEL01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"PM",0.00641025641025642
"624","U12","Plasmodium",1,1,1,1,0.0158730158730159,"PM",0.00641025641025642
"625","UN203","Parahaemoproteus",1,6,1,3,0.0158730158730159,"R",0.00641025641025642
"626","VIGLOG","Parahaemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"627","VILEU01","Haemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"628","VIOLI01","Plasmodium",1,6,1,1,0.0158730158730159,"M",0.00641025641025642
"629","VIOLI03","Plasmodium",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"630","VIOLI04","Parahaemoproteus",1,2,2,2,0.0158730158730159,"R_M",0.00641025641025642
"631","VIOLI07","Plasmodium",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"632","VIOLI08","Haemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"633","VIROLI01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"634","VIROLI02","Parahaemoproteus",1,1,1,1,0.0158730158730159,"M",0.00641025641025642
"635","WILPOE01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"636","WILPOE05","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"637","WILPOE06","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"638","WILPOE07","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"639","WILPOE08","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"640","WILPOE09","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"641","WILPOE11","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"642","WILPOE12","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"643","WILPOE15","Plasmodium",1,6,1,4,0.0158730158730159,"R",0.00641025641025642
"644","WILPOE16","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"645","WILPOE17","Plasmodium",1,2,1,2,0.0158730158730159,"R",0.00641025641025642
"646","WILPOE19","Plasmodium",1,2,1,1,0.0158730158730159,"R",0.00641025641025642
"647","WILPOE20","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"648","XENATR01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"649","XENMIN01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"650","XENMIN02","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"651","XENMIN03","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"652","XIPELE01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"653","XIPELE02","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"654","XIPOBS01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"655","XIPOCE01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"656","XIPOCE02","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"657","XIPPAR01","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"658","ZC2","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"659","ZEMAC03","Haemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"660","ZENAUR01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"661","ZOCAP08","Parahaemoproteus",1,5,1,4,0.0158730158730159,"R",0.00641025641025642
"662","ZOCAP11","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"663","ZOCAP12","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"664","ZOCAP13","Haemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"665","ZONCAP01","Parahaemoproteus",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"666","ZONCAP03","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
"667","ZONCAP04","Plasmodium",1,1,1,1,0.0158730158730159,"R",0.00641025641025642
