"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"183","FORCOL03",1,1,0,0,0,0,-4.998,-4.998,0,-62.935,-62.935,1,"Plasmodium",1,1,1,1,1,1,"R"
"184","FORCOL04",1,2,484.18169789339,0,484.18169789339,453.646167281131,-9.1,-4.998,120.765297306411,-64.466667,-62.935,2,"Plasmodium",1,1,1,1,1,1,"R"
"185","FORCOL05",1,1,0,0,NA,0,-1.35,-1.35,0,-56.366667,-56.366667,1,"Plasmodium",1,1,1,1,1,1,"R"
"186","FORCOL06",2,1,0,0,0,0,-9.1,-9.1,0,-64.466667,-64.466667,1,"Plasmodium",2,5,1,1,1,1,"R"
"187","FORCOL07",1,1,0,0,0,0,-3.7,-3.7,0,-46.75,-46.75,1,"Plasmodium",1,3,1,1,1,1,"R"
"188","FORCOL08",1,1,0,0,0,0,-3.7,-3.7,0,-46.75,-46.75,1,"Plasmodium",1,1,1,1,1,1,"R"
"189","FORGRI01",1,3,1613.23063935405,109829.913403099,1549.36181527819,1427.82763645571,-19.4724319,-6.566667,490.129518266107,-43.4844164,-37.266667,2,"Plasmodium",1,1,1,1,1,1,"R"
"190","FORGRI03",1,1,0,0,NA,0,-15.3633507,-15.3633507,0,-56.355506,-56.355506,1,"Plasmodium",1,1,1,1,1,1,"R"
"191","FOSER01",3,13,7959.5632347961,6222520.63593226,4322.11936034221,3915.79254836665,-36.716667,-1.35,2153.89117260595,-64.716667,-37.266667,10,"Plasmodium",3,4,1,3,3,2,"R"
"192","FRAG15",1,1,0,0,NA,0,-12.90198,-12.90198,0,-39.841985,-39.841985,1,"Plasmodium",1,1,1,1,1,1,"R"
"193","FURLEU01",13,1,0,0,0,0,-16.5630651,-16.5630651,0,-45.5308804,-45.5308804,1,"Plasmodium",13,17,1,13,6,6,"R"
"194","FURLEU02",1,1,0,0,0,0,-0.4,-0.4,0,-64.8,-64.8,1,"Haemoproteus",1,1,1,1,1,1,"R"
"195","FURUF01",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
