Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
RAMCAR02;1;1;0;0;0;0;-5.066667;-5.066667;0;-56.85;-56.85;1;Plasmodium;1;1;1;1;1;1;R
RAMCAR03;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
RAMCAR05;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
RECOB4;2;2;358.920851397933;0;358.920851397933;357.526161187599;-2.883333;0.35;22.3399777930928;-79.716667;-79.433333;2;Plasmodium;2;2;1;1;1;1;R
RHYSIM01;1;1;0;0;0;0;-12.216667;-12.216667;0;-60.733333;-60.733333;1;Plasmodium;1;1;1;1;1;1;R
SALATR01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Plasmodium;1;2;1;1;1;1;R
SCHRUF01;1;1;0;0;0;0;-5.916667;-5.916667;0;-35.166667;-35.166667;1;Plasmodium;1;1;1;1;1;1;R
SCHTUR01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Haemoproteus;1;1;1;1;1;1;R
SCHTUR02;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
SCLCAU01;1;1;0;0;0;0;-5.216667;-5.216667;0;-56.916667;-56.916667;1;Haemoproteus;1;1;1;1;1;1;R
SCLCAU02;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Plasmodium;1;1;1;1;1;1;R
SERCIN01;1;1;0;0;0;0;-9.916667;-9.916667;0;-76.233333;-76.233333;1;Haemoproteus;1;1;1;1;1;1;R
SERSUB01;1;1;0;0;0;0;-30.205564;-30.205564;0;-57.495736;-57.495736;1;Plasmodium;1;1;1;1;1;1;R
SGS1;2;2;265.532331721316;0;265.532331721316;252.571507129163;-12.2;-9.916667;59.1349152219885;-76.983333;-76.233333;2;Plasmodium;2;8;1;8;1;1;R
SocH2;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Haemoproteus;1;5;1;3;1;1;R
SocH3;4;4;1561.69620590427;262689.024369204;1358.5344421056;990.701352280824;-14.50911;-5.5524107;669.03029041582;-43.59298;-35.103905;3;Haemoproteus;4;77;2;8;3;2;R_PM
SocH4;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Haemoproteus;1;1;1;1;1;1;R
SPMAG04;2;2;1891.93533811396;0;1891.93533811396;1315.02280088842;-13.84;-1.95;973.521503204416;-51.6;-39241;2;Plasmodium;2;2;1;2;2;2;R
SPMAG06;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Plasmodium;1;1;1;1;1;1;R
SPMAG08;4;4;3990.19697042763;73264.3379573771;3989.89338329203;2346.12792262807;-26.3;-5.1;2378.83948765653;-79.233333;-48.883333;2;Plasmodium;4;4;1;4;2;2;R
SPMEN03;2;2;1661.9883159792;0;1661.9883159792;20.4949635505782;-0.633333;-0.447983;1175.47511312464;-91.079517;-76.15;2;Plasmodium;2;2;1;2;1;1;R
SPOPLU01;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;1;1;1;1;1;R
STTA17H;1;1;0;0;0;0;-23.029538;-23.029538;0;-47.815246;-47.815246;1;Haemoproteus;1;1;1;1;1;1;R
SUISUI01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Haemoproteus;1;7;2;2;1;1;R_PM
SUISUI02;2;2;1.37772102570901;0;1.37772102570901;1.35308512453026;-15.533333;-15.5211053;0.161241776999126;-47.552045;-47.55;1;Haemoproteus;2;7;2;3;1;1;R_PM
SUISUI03;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Haemoproteus;1;2;1;1;1;1;R
SYCIN01;1;1;0;0;0;0;-16.2559998;-16.2559998;0;-41.011001;-41.011001;1;Haemoproteus;1;1;1;1;1;1;R
SY0LB01;1;1;0;0;0;0;-36.716667;-36.716667;0;-64.283333;-64.283333;1;Haemoproteus;1;1;1;1;1;1;R
TACCRI01;4;4;2425.72141897953;377234.99623615;2049.81393967721;453.366074768702;-4.683333;-0.583333;1429.37090823866;-64.916667;-46.75;3;Haemoproteus;4;4;1;3;1;1;R
TACCRI02;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
TACPHO01;1;1;0;0;0;0;-13.8;-13.8;0;-59.683333;-59.683333;1;Plasmodium;1;2;2;2;1;1;R_PM
TACRUB01;9;9;4159.1261960039;2062963.11747845;2369.61036608021;1292.16797847564;-13.8;-2.116667;1446.34490032667;-77.733333;-59.35;7;Plasmodium;9;19;1;5;2;3;R
TACRUB02;1;1;0;0;0;0;-5.916667;-5.916667;0;-35.166667;-35.166667;1;Haemoproteus;1;3;1;1;1;1;R
TACRUB03;1;1;0;0;0;0;-5.916667;-5.916667;0;-35.166667;-35.166667;1;Haemoproteus;1;1;1;1;1;1;R
TACRUB04;1;1;0;0;0;0;-27.098611;-27.098611;0;-48.8925;-48.8925;1;Plasmodium;1;1;1;1;1;1;R
TACRUF01;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Plasmodium;1;1;1;1;1;1;R
TAFUF01;1;1;0;0;0;0;-18.4526633;-18.4526633;0;-44.5356927;-44.5356927;1;Plasmodium;1;1;1;1;1;1;R
TANCAY01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Haemoproteus;1;1;1;1;1;1;R
TANCHI01;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;5;1;3;1;1;R
TANCHI02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;R
TANCYA01;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;6;1;4;1;1;R
TANCYA02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;R
TANICT01;4;4;1465.26586539278;95228.7867201966;1420.3965548752;1387.91008761898;-12.2;0.35;274.628709368382;-79.716667;-76.233333;3;Haemoproteus;4;6;1;6;1;2;R
TANIG01;7;7;1577.67137044912;254787.609236097;1298.75806278949;1249.53321696886;-6.583333;4.716667;405.992829478501;-79.233333;-74.083333;4;Haemoproteus;6;14;2;6;1;3;R_M
TANLAB01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;1;1;1;1;1;R
TANNIG01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
TANSAY01;1;1;0;0;0;0;-15.316667;-15.316667;0;-55.866667;-55.866667;1;Haemoproteus;1;1;1;1;1;1;R
TANSCH01;2;2;248.309038284859;0;248.309038284859;164.035625762072;-6.583333;-5.1;132.723092613238;-79.233333;-77.55;1;Haemoproteus;2;6;1;2;1;1;R
TANVAS02;3;3;192.346421594982;22.5294769451856;192.34428051647;3.68614811800131;4.683333;4.716667;136.665294134982;-75.566667;-73.833333;2;Haemoproteus;2;2;1;2;1;1;R
TANXAN01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Haemoproteus;1;1;1;1;1;1;R
TARMAJ01;1;1;0;0;0;0;-12.90198;-12.90198;0;-39.841985;-39.841985;1;Plasmodium;1;1;1;1;1;1;R
TARUF01;4;4;691.929378998791;29372.5834455182;665.601652302873;437.31338514613;-19.4724319;-15.5211053;372.587318525869;-47.552045;-42.825918;2;Plasmodium;4;5;1;4;2;2;R
TARUF02;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Haemoproteus;1;79;3;29;1;1;R_PM_M
TASCH01;1;1;0;0;0;0;-2.116667;-2.116667;0;-77.733333;-77.733333;1;Haemoproteus;1;2;1;2;1;1;R
TERERY01;1;1;0;0;0;0;-5.066667;-5.066667;0;-56.85;-56.85;1;Plasmodium;1;1;1;1;1;1;R
TFUS01;1;1;0;0;0;0;4.62235;4.62235;0;-73.738417;-73.738417;1;Leucocytozoon;1;1;1;1;1;1;R
TFUS02;1;1;0;0;0;0;4.62235;4.62235;0;-73.738417;-73.738417;1;Leucocytozoon;1;1;1;1;1;1;R
TFUS03;1;1;0;0;0;0;4.62235;4.62235;0;-73.738417;-73.738417;1;Leucocytozoon;1;1;1;1;1;1;R
TFUS04;1;1;0;0;0;0;4.62235;4.62235;0;-73.738417;-73.738417;1;Leucocytozoon;1;1;1;1;1;1;R
TFUS05;1;1;0;0;0;0;4.633333;4.633333;0;-74.083333;-74.083333;1;Plasmodium;1;1;1;1;1;1;R
TFUS06;3;3;164.870609074061;59.2742411023212;164.849190362729;9.21521808661127;4.633333;4.716667;116.954558132001;-75.566667;-74.083333;2;Plasmodium;2;2;1;1;1;1;R
TFUS07;1;1;0;0;0;0;4.616667;4.616667;0;-73.716667;-73.716667;1;Leucocytozoon;1;1;1;1;1;1;R
TFUS12;1;1;0;0;0;0;4.616667;4.616667;0;-73.716667;-73.716667;1;Leucocytozoon;1;1;1;1;1;1;R
THAAET01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
THAAET02;1;1;0;0;0;0;-9.1;-9.1;0;-64.466667;-64.466667;1;Plasmodium;1;1;1;1;1;1;R
THAAMA01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
THACAE01;8;8;3270.03561194815;1087711.136135;2421.77728327065;593.44911099458;-6.716667;-1.35;1687.59822572716;-77.733333;-56.266667;5;Plasmodium;8;13;1;10;2;3;R
THACAE03;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
THACAE04;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
THACAE06;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
THACAE08;3;3;1107.44893739864;33371.5992690679;1100.54801974128;259.854977183611;-3.7;-1.35;757.798194433504;-56.366667;-46.75;3;Plasmodium;3;6;1;3;1;1;R
THACAE09;2;2;1424.54771904362;0;1424.54771904362;1376.94241832012;-13.8;-1.35;261.490358587604;-59.683333;-56.366667;2;Plasmodium;2;2;1;1;1;1;R
THAFAN01;1;1;0;0;0;0;0.35;0.35;0;-79.716667;-79.716667;1;Haemoproteus;1;1;1;1;1;1;R
THAFUR01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Haemoproteus;1;1;1;1;1;1;R
THAGLA01;1;1;0;0;0;0;-13.84;-13.84;0;-39241;-39241;1;Haemoproteus;1;1;1;1;1;1;R
THAMAE01;9;9;4079.74309150967;1524846.31548938;3448.85156643354;814.653738038564;-9.316667;-1.95;2427.86275678219;-77.733333;-46.75;6;Plasmodium;9;26;1;15;2;2;R
THAMB01;2;2;3144.45452004653;0;3144.45452004653;1733.47052757488;-16.2559998;-0.583333;1877.99768133087;-64.916667;-41.011001;2;Plasmodium;2;7;1;2;2;2;R
THAMB02;3;3;640.849447637327;43579.9542702412;551.287311230317;429.088779135666;-19.4724319;-15.5954324;257.050989862506;-42.825918;-39.5655673;2;Plasmodium;3;23;1;1;2;1;R
THAMB03;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Plasmodium;1;4;1;1;1;1;R
THAMB04;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;1;1;1;1;1;R
THAMB05;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;1;1;1;1;1;R
THAMB06;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;1;1;1;1;1;R
THAMB07;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;1;1;1;1;1;R
THAMB08;3;3;448.486296576785;24834.0606641325;343.492584725712;200.870102629851;-19.4724319;-17.657674;226.363128618952;-43.4844164;-40.613344;1;Plasmodium;3;4;1;1;2;1;R
THAMB09;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Plasmodium;1;2;1;2;1;1;R
THAMB10;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Plasmodium;1;1;1;1;1;1;R
THAMUR01;4;4;1019.74166505565;91208.0748437239;943.130884196436;941.808806440053;-9.1;-0.583333;156.244277010355;-64.916667;-62935;2;Plasmodium;4;8;1;4;1;1;R
THANIG01;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Plasmodium;1;1;1;1;1;1;R
THANIG02;1;1;0;0;0;0;-4.5;-4.5;0;-56.266667;-56.266667;1;Plasmodium;1;1;1;1;1;1;R
THASAT01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;4;1;4;1;1;R
THASAT03;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
THASAT05;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Haemoproteus;1;1;1;1;1;1;R
THASAT06;2;2;45.4440808604879;0;45.4440808604879;20.2732215408479;-4.683333;-4.5;28.9104289698275;-56.633333;-56.266667;1;Plasmodium;2;9;1;7;1;1;R
THASAT10;4;4;1697.41497191385;361032.758885935;1062.46490221891;1008.35024700621;-13.8;-4.683333;637.080788728807;-64.716667;-56.633333;4;Plasmodium;4;6;1;3;1;1;R
THATOR01;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Haemoproteus;1;1;1;1;1;1;R
THCAE01;2;2;213.978041004728;0;213.978041004728;213.967428806068;-19.5907472;-17.657674;1.61859936520941;-43.5049448;-43.4844164;1;Plasmodium;2;7;1;3;2;1;R
THPEL01;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Plasmodium;1;2;1;1;1;1;R
THSAY01;1;1;0;0;0;0;-17.657674;-17.657674;0;-43.4844164;-43.4844164;1;Plasmodium;1;3;1;2;1;1;R
THSAY02;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Plasmodium;1;2;1;1;1;1;R
TOFLA01;5;5;2416.83514750855;829555.806192861;1649.67298350522;1631.95353554217;-18.4526633;-3.7;566.284096076966;-46.75;-39.5655673;4;Plasmodium;5;11;2;3;3;3;R_PM
TOFLA02;2;2;171.163725125394;0;171.163725125394;73.0970264081684;-16.2559998;-15.5954324;113.966361443829;-41.011001;-39.5655673;2;Haemoproteus;2;2;1;2;1;1;R
TOFLA03;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Haemoproteus;1;2;1;1;1;1;R
TOLFLA01;1;1;0;0;0;0;-5.066667;-5.066667;0;-56.85;-56.85;1;Haemoproteus;1;1;1;1;1;1;R
TOLFLA02;1;1;0;0;0;0;-14.866667;-14.866667;0;-59;-59;1;Plasmodium;1;1;1;1;1;1;R
TOSUL01;2;2;234.315367173637;0;234.315367173637;209.131136555422;-18.4526633;-16.5630651;78.4669072744181;-45.5308804;-44.5356927;2;Haemoproteus;2;2;1;1;1;1;R
TREML02;1;1;0;0;0;0;-19.4724319;-19.4724319;0;-42.825918;-42.825918;1;Plasmodium;1;2;1;1;1;1;R
TRMB;1;1;0;0;0;0;-15.3633507;-15.3633507;0;-56.355506;-56.355506;1;Plasmodium;1;1;1;1;1;1;R
TRMEL01;1;1;0;0;0;0;-19.4724319;-19.4724319;0;-42.825918;-42.825918;1;Plasmodium;1;1;1;1;1;1;R
TRMEL02;2;2;284.021071495029;0;284.021071495029;2.05686000546648;-19.4910125;-19.4724319;213.292913433989;-42.825918;-40.1206373;1;Plasmodium;2;3;2;3;2;1;R_M
TRMUS01;3;3;4765.40307631507;750552.673264701;4661.43417825455;1851.93915842424;-19.4910125;-2.75;3071.19366352655;-79.466667;-40.1206373;3;Haemoproteus;3;7;1;3;2;3;R
TRMUS02;2;2;1145.43040427164;0;1145.43040427164;903.122231280723;-14.50911;-6.344364;507.675587401579;-43.59298;-37.152527;2;Plasmodium;2;3;1;2;2;2;R
TRMUS03;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Plasmodium;1;1;1;1;1;1;R
TROAED01;2;2;725.555136308617;0;725.555136308617;432.201651967852;-13.24933;-9.34215;420.912604685523;-77.50849;-72.169166;2;Leucocytozoon;2;3;1;1;1;1;M
TROAED02;3;3;969.927160835711;6845.1059128223;969.586976020293;736.268587854878;-14.06;-7.4038;454.946205245276;-78.7797;-73.00848;2;Leucocytozoon;3;3;1;1;1;1;M
TROAED03;1;1;0;0;0;0;-14.4076;-14.4076;0;-73.087716;-73.087716;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED04;1;1;0;0;0;0;-11.76706;-11.76706;0;-76.528333;-76.528333;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED05;1;1;0;0;0;0;-17.39;-17.39;0;-70.3458;-70.3458;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED06;2;2;175.414875016634;0;175.414875016634;23.9022810030549;-11.983133;-11.76706;125.758671513785;-76.528333;-74.933333;2;Leucocytozoon;2;3;1;1;1;1;M
TROAED07;1;1;0;0;0;0;-14.1739;-14.1739;0;-73.32313;-73.32313;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED08;1;1;0;0;0;0;-5.89614;-5.89614;0;-79.78502;-79.78502;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED09;1;1;0;0;0;0;-7.4038;-7.4038;0;-78.7797;-78.7797;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED10;1;1;0;0;0;0;-13.55515;-13.55515;0;-70.87583;-70.87583;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED11;1;1;0;0;0;0;-14.1739;-14.1739;0;-73.32313;-73.32313;1;Leucocytozoon;1;1;1;1;1;1;M
TROAED12;1;1;0;0;0;0;-12.0295;-12.0295;0;-76.650783;-76.650783;1;Haemoproteus;1;2;1;1;1;1;M
TROAED13;2;2;862.011259730188;0;862.011259730188;656.476184609658;-12.6519;-6.716667;401.506085679738;-77.416667;-72.3236;2;Haemoproteus;2;2;1;2;1;1;M
TROAED14;1;1;0;0;0;0;-9.34215;-9.34215;0;-77.50849;-77.50849;1;Haemoproteus;1;1;1;1;1;1;M
TROAED15;17;16;1424.90382365549;188041.68864745;735.33002930035;716.912216184775;-5.833333;0.65;352.137953333005;-80.616667;-76.15;4;Haemoproteus;17;48;2;12;1;2;R_M
TROAED16;1;1;0;0;0;0;-11.983133;-11.983133;0;-74.933333;-74.933333;1;Haemoproteus;1;1;1;1;1;1;M
TROAED17;1;1;0;0;0;0;-14.1739;-14.1739;0;-73.32313;-73.32313;1;Haemoproteus;1;1;1;1;1;1;M
TROAED18;3;3;895.888094284262;43907.7748963075;865.213196358003;861.091507879565;-8.38685;-0.6;86.3508195616148;-78.64518;-77.55;2;Haemoproteus;3;3;2;3;1;2;M
TROAED19;1;1;0;0;0;0;-13.625333;-13.625333;0;-71718;-71718;1;Haemoproteus;1;1;1;1;1;1;M
TROAED20;11;11;3484.15184631108;1314449.22074301;2705.55402987964;2687.94121520087;-13.55515;10.75;658.67029057677;-79.233333;-70.87583;7;Haemoproteus;11;53;2;45;1;3;R_M
TROAED21;1;1;0;0;0;0;-14.06;-14.06;0;-73.00848;-73.00848;1;Plasmodium;1;1;1;1;1;1;M
TROAED22;2;2;882.782387126339;0;882.782387126339;671.221480768062;-12.6519;-6.583333;412.013638705283;-77.55;-72.3236;2;Plasmodium;2;2;2;2;1;1;R_M
TROAED23;3;3;629.198898471233;4088.51099437072;624.347080020381;621.229721851043;-12.2;-6.583333;44.6798084513607;-77.55;-76.983333;2;Plasmodium;3;4;1;4;1;1;R
TROPER01;2;2;1268.65087366132;0;1268.65087366132;1247.6901508187;-6.583333;4.7;162.94573507466;-77.55;-75.483333;2;Plasmodium;2;2;1;1;1;2;R
TROPER02;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
TUAMA01;10;10;6360.41471350026;3771629.17452278;4698.83137632032;1542.04770471728;-19.4910125;-5.5524107;3307.54192686339;-77.55;-35.103905;8;Plasmodium;10;13;2;5;6;4;R_PM
TULEU01;6;6;2137.63260940482;376674.180487909;1749.24887509249;459.935057912653;-19.4724319;-15.316667;1283.11495487612;-55.866667;-39.5655673;4;Plasmodium;6;13;2;4;2;2;R_PM
TULEU02;2;2;212.518549984559;0;212.518549984559;112.879865657543;-19.4724319;-18.4526633;134.807822716386;-44.5356927;-42.825918;1;Plasmodium;2;2;1;1;2;1;R
TULEU03;2;2;1592.58244049408;0;1592.58244049408;396.847509524937;-18.4526633;-14.866667;1138.94638264445;-59;-44.5356927;2;Plasmodium;2;2;1;1;1;2;R
TULEU04;1;1;0;0;0;0;-18.4526633;-18.4526633;0;-44.5356927;-44.5356927;1;Plasmodium;1;2;1;1;1;1;R
TULEU05;1;1;0;0;0;0;-18.4526633;-18.4526633;0;-44.5356927;-44.5356927;1;Plasmodium;1;1;1;1;1;1;R
TULEU06;8;8;2582.20741323614;592970.334541687;1935.06841395555;697.200467606519;-21.1658279;-14.866667;1415.45014718248;-59;-41.011001;5;Plasmodium;8;15;1;3;2;2;R
TULEU07;2;2;428.910261559352;0;428.910261559352;300.352958327279;-21.1658279;-18.4526633;230.451069938706;-47.45862;-44.5356927;2;Plasmodium;2;3;2;2;2;1;R_PM
TULEU08;1;1;0;0;0;0;-16.2559998;-16.2559998;0;-41.011001;-41.011001;1;Plasmodium;1;1;1;1;1;1;R
TUMIG03;15;14;6302.52912066503;4057243.36390129;4198.71322960479;2697.05078131973;-29.466667;-5.1;2795.43445380396;-79.233333;-43.4844164;8;Plasmodium;15;21;3;9;5;5;R_PM_M
TUOLI01;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Plasmodium;1;1;1;1;1;1;R
TURALB01;3;3;3485.75625366398;1126733.50658669;2703.50833752194;2254.68406759337;-29.466667;-9.1;1544.21980651955;-64.466667;-44.833333;3;Plasmodium;3;6;2;3;2;3;R_M
TURALB02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
TURALB03;2;2;597.612853538514;0;597.612853538514;435.561672424236;-27.098611;-23.166667;320.018997325985;-48.8925;-44.833333;2;Plasmodium;2;4;2;3;1;2;R_PM
TURALB05;1;1;0;0;0;0;-29.466667;-29.466667;0;-50.166667;-50.166667;1;Plasmodium;1;1;1;1;1;1;R
TURAMA01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Plasmodium;1;1;1;1;1;1;PM
TURAMA03;1;1;0;0;0;0;-13.8;-13.8;0;-59.683333;-59.683333;1;Plasmodium;1;1;1;1;1;1;PM
TURDUS2;1;1;0;0;0;0;-5.1;-5.1;0;-79.233333;-79.233333;1;Haemoproteus;1;1;1;1;1;1;R
TURFAL06;1;1;0;0;0;0;-29.466667;-29.466667;0;-50.166667;-50.166667;1;Plasmodium;1;1;1;1;1;1;M
TURFLA01;1;1;0;0;0;0;-26.3;-26.3;0;-48.883333;-48.883333;1;Plasmodium;1;1;1;1;1;1;M
TURLEU01;2;2;2640.82222137973;0;2640.82222137973;1916.03417903594;-30.205564;-12.90198;1389.17787680017;-57.495736;-39.841985;2;Plasmodium;2;2;1;2;2;2;R
TURNUD02;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;1;1;1;1;1;M
TURUF01;4;4;1142.89867781981;153817.425125049;665.607297396577;624.786478084869;-21.1658279;-15.5211053;372.587318525869;-47.552045;-42.825918;3;Plasmodium;4;6;2;3;2;2;R_PM
TURUF03;3;3;887.793573626385;19606.4354450409;877.631817012339;697.999375568939;-29.466667;-23.166667;420.440568359647;-50.166667;-44.833333;3;Plasmodium;3;6;1;1;1;2;R
TYRMEL01;1;1;0;0;0;0;-1.35;-1.35;0;-56.366667;-56.366667;1;Haemoproteus;1;1;1;1;1;1;PM
U12;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Plasmodium;1;1;1;1;1;1;PM
UN203;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Haemoproteus;1;9;2;5;1;1;R_M
VIGLOG;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Haemoproteus;1;1;1;1;1;1;M
VILEU01;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Haemoproteus;1;1;1;1;1;1;R
VIOLI01;1;1;0;0;0;0;-19.4910125;-19.4910125;0;-40.1206373;-40.1206373;1;Plasmodium;1;6;1;1;1;1;M
VIOLI03;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;M
VIOLI04;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;2;2;2;1;1;R_M
VIOLI05;2;2;4556.93431864959;0;4556.93431864959;3773.3331614382;-29.466667;4.633333;1878.85543466408;-74.083333;-50.166667;2;Haemoproteus;2;2;1;1;2;2;M
VIOLI06;4;4;7030.97374291021;5796228.04045066;4556.94413885888;3773.3331614382;-29.466667;4.633333;2877.45026323648;-74.083333;-37.266667;4;Haemoproteus;4;6;2;3;3;3;R_M
VIOLI07;1;1;0;0;0;0;4.633333;4.633333;0;-74.083333;-74.083333;1;Plasmodium;1;1;1;1;1;1;M
VIOLI08;1;1;0;0;0;0;4.633333;4.633333;0;-74.083333;-74.083333;1;Haemoproteus;1;1;1;1;1;1;M
VIREO02;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Haemoproteus;1;1;1;1;1;1;M
VIROLI01;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Haemoproteus;1;1;1;1;1;1;M
VIROLI02;1;1;0;0;0;0;-28.153369;-28.153369;0;-49.641754;-49.641754;1;Haemoproteus;1;1;1;1;1;1;M
VOLJAC02;3;3;2505.90457086274;578597.496623754;2249.49408672847;967.892578686327;-15.316667;-6.566667;1463.31634059057;-55.866667;-37.266667;3;Plasmodium;3;6;1;5;2;2;R
VOLJAC03;4;4;5552.06279030424;2724437.45751559;4174.06150756811;1308.8730582939;-15.533333;-3.7;2935.59393928617;-77.416667;-39.841985;4;Plasmodium;4;7;1;4;4;4;R
WILPOE01;1;1;0;0;0;0;-5.1;-5.1;0;-56.433333;-56.433333;1;Plasmodium;1;1;1;1;1;1;R
WILPOE02;2;2;692.312959229484;0;692.312959229484;361.224481883429;-5.216667;-1.95;419.127138048523;-56.916667;-51.6;2;Plasmodium;2;3;1;3;1;1;R
WILPOE05;1;1;0;0;0;0;-5.1;-5.1;0;-56.433333;-56.433333;1;Plasmodium;1;1;1;1;1;1;R
WILPOE06;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
