Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
MYCAME01;1;1;0;0;0;0;-19.833333;-19.833333;0;-56.033333;-56.033333;1;Plasmodium;1;1;1;1;1;1;M
MYCAME02;6;6;2227.87154518361;481171.639788735;1976.03530377025;1871.04355529187;-16.466667;0.45;470.346389394016;-56.633333;-50.666667;3;Plasmodium;6;7;2;4;3;3;R_M
MYCAME03;1;1;0;0;0;0;0.45;0.45;0;-50.666667;-50.666667;1;Plasmodium;1;1;1;1;1;1;M
MYCAME04;1;1;0;0;0;0;-16.416667;-16.416667;0;-56.6;-56.6;1;Plasmodium;1;1;1;1;1;1;M
MYCAME05;1;1;0;0;0;0;1.933333;1.933333;0;-50.583333;-50.583333;1;Plasmodium;1;1;1;1;1;1;M
MYCAME06;1;1;0;0;0;0;-16.466667;-16.466667;0;-56.116667;-56.116667;1;Plasmodium;1;1;1;1;1;1;M
MYCAME07;1;1;0;0;0;0;-18.666667;-18.666667;0;-56.416667;-56.416667;1;Plasmodium;1;1;1;1;1;1;M
MYCAME08;1;1;0;0;0;0;-16.25;-16.25;0;-56.366667;-56.366667;1;Plasmodium;1;1;1;1;1;1;M
MYCAN01;1;1;0;0;0;0;-19.4724319;-19.4724319;0;-42.825918;-42.825918;1;Plasmodium;1;1;1;1;1;1;R
MYFUM01;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Leucocytozoon;1;3;1;3;1;1;R
MYIFER01;1;1;0;0;0;0;-5.066667;-5.066667;0;-56.85;-56.85;1;Plasmodium;1;1;1;1;1;1;R
MYIFLA02;1;1;0;0;0;0;10.75;10.75;0;-73.666667;-73.666667;1;Leucocytozoon;1;3;2;3;1;1;R_M
MYISWA01;2;2;881.274790594896;0;881.274790594896;291.136738115078;-15.533333;-12.90198;607.523252467696;-47.55;-39.841985;2;Haemoproteus;2;14;2;8;2;2;R_PM
MYITIR01;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Plasmodium;1;2;1;1;1;1;R
MYITYR01;7;7;7797.71043902399;4738852.21248039;6062.30884015023;1998.48343623033;-18.4526633;-0.385267;4194.01412413964;-91.51215;-37.266667;6;Plasmodium;7;14;2;6;4;4;R_PM
MYMAC02;2;2;1145.41867870797;0;1145.41867870797;903.122231280723;-14.50911;-6.344364;507.675587401579;-43.59298;-37.152527;2;Haemoproteus;2;2;1;1;2;2;PM
MYMAC03;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Haemoproteus;1;1;1;1;1;1;PM
MYRAXI01;5;5;2250.57145082753;531392.048924966;1566.77082279069;1502.38291131481;-15.533333;-1.95;738.120365519232;-56.916667;-47.55;4;Plasmodium;5;9;1;4;2;2;R
MYRAXI02;1;1;0;0;0;0;-5.216667;-5.216667;0;-56.916667;-56.916667;1;Haemoproteus;1;1;1;1;1;1;R
MYRAXI03;3;3;2050.10545141239;428318.908007172;1805.34344424037;941.922328925682;-12.216667;-3.7;1101.16982991454;-60.733333;-46.75;3;Plasmodium;3;6;1;1;1;1;R
MYRAXI04;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
MYRAXI05;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
MYRAXI06;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
MYRAXI07;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
MYRAXI09;2;2;2048.15199458252;0;2048.15199458252;597.179926228814;-9.1;-3.7;1394.10885835471;-64.466667;-46.75;2;Plasmodium;2;2;1;1;1;1;R
MYRAXI10;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Plasmodium;1;1;1;1;1;1;R
MYRFOR01;1;1;0;0;0;0;-4998;-4998;0;-62935;-62935;1;Plasmodium;1;1;1;1;1;1;R
MYRFOR03;1;1;0;0;0;0;-4998;-4998;0;-62935;-62935;1;Plasmodium;1;1;1;1;1;1;R
MYRHEM01;1;1;0;0;0;0;-9.316667;-9.316667;0;-64.716667;-64.716667;1;Plasmodium;1;1;1;1;1;1;R
MYRHEM02;2;2;3721.04971754304;0;3721.04971754304;2167.34700108126;-26.3;-6.716667;2238.01183716524;-77.416667;-48.883333;2;Plasmodium;2;2;1;2;2;2;R
MYRLON01;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
MYRLON02;2;2;598.582744471145;0;598.582744471145;568.004270173989;-5.72;-0.583333;134.01090665813;-64.916667;-63217;2;Plasmodium;2;2;1;2;1;1;R
MYRLON03;1;1;0;0;0;0;-0.583333;-0.583333;0;-64.916667;-64.916667;1;Plasmodium;1;1;1;1;1;1;R
MYRLON04;1;1;0;0;0;0;-5.72;-5.72;0;-63217;-63217;1;Plasmodium;1;1;1;1;1;1;R
MYRLON06;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Plasmodium;1;2;1;2;1;1;R
MYRMAX01;6;6;3554.70923885173;1294029.45586275;2378.91737703892;962.080735310896;-9.1;-0.4;1679.78310233014;-77.733333;-56.366667;4;Plasmodium;6;13;1;8;2;2;R
MYRMEN02;1;1;0;0;0;0;-1.95;-1.95;0;-51.6;-51.6;1;Haemoproteus;1;1;1;1;1;1;R
MYRMYO01;3;3;2412.74902811134;50779.8184208727;2389.00321285464;329.893749681849;-5.1;-2.116667;1674.57270829572;-77.733333;-56.433333;3;Plasmodium;3;9;1;7;2;2;R
MYRMYO02;1;1;0;0;0;0;-2.116667;-2.116667;0;-77.733333;-77.733333;1;Plasmodium;1;1;1;1;1;1;R
MYRMYO04;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
MYRMYO05;1;1;0;0;0;0;-4.683333;-4.683333;0;-56.633333;-56.633333;1;Plasmodium;1;1;1;1;1;1;R
MYRMYO07;1;1;0;0;0;0;-4998;-4998;0;-62935;-62935;1;Haemoproteus;1;1;1;1;1;1;R
MYRMYO08;1;1;0;0;0;0;-4998;-4998;0;-62935;-62935;1;Plasmodium;1;1;1;1;1;1;R
MYRMYO09;1;1;0;0;0;0;-9.1;-9.1;0;-64.466667;-64.466667;1;Plasmodium;1;1;1;1;1;1;R
MYRSCH01;1;1;0;0;0;0;-6.583333;-6.583333;0;-77.55;-77.55;1;Plasmodium;1;1;1;1;1;1;R
MYSWA01;3;3;725.526983856448;50173.1171084758;647.121572577251;228.218676901226;-17.657674;-15.5954324;470.239789853452;-45.5308804;-39.5655673;3;Plasmodium;3;10;2;5;1;1;PM
NEOFAS01;2;2;199.239335660914;0;199.239335660914;40.5723755055898;-15.533333;-15.166667;143.235443219638;-47.55;-45.733333;1;Plasmodium;2;26;1;4;1;2;R
NEOFAS02;4;4;1724.3503353004;363385.65950496;1201.89420435294;853.779871787077;-23.029538;-15.316667;655.45476863026;-55.866667;-47.55;3;Haemoproteus;4;5;1;3;2;2;R
NEOFAS03;4;4;214.222571316191;1493.72707254703;200.600162554459;40.5723755055898;-15.533333;-15.166667;146.013622693629;-47.5852374;-45.733333;1;Haemoproteus;4;33;2;7;1;2;PM
NEOFAS06;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Plasmodium;1;1;1;1;1;1;R
NEOFAS07;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Plasmodium;1;1;1;1;1;1;R
NEOFAS08;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Plasmodium;1;1;1;1;1;1;R
NEOFAS09;1;1;0;0;0;0;-15.316667;-15.316667;0;-55.866667;-55.866667;1;Plasmodium;1;1;1;1;1;1;R
NEOFAS10;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Plasmodium;1;1;1;1;1;1;R
NEOFAS12;1;1;0;0;0;0;-15.166667;-15.166667;0;-45.733333;-45.733333;1;Plasmodium;1;1;1;1;1;1;R
NEPIL01;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Haemoproteus;1;2;1;2;1;1;R
Nova;1;1;0;0;0;0;-15.61953;-15.61953;0;-55.327475;-55.327475;1;Haemoproteus;1;1;1;1;1;1;R
NYCNYC01;1;1;0;0;0;0;-23.651383;-23.651383;0;-46.619467;-46.619467;1;Plasmodium;1;2;1;2;1;1;R
