"","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount"
"GALALB01",1,3,1184.03090212981,154925.248231734,993.815589926404,488.442731867446,-9.1,-4.683333,617.392884097327,-64.466667,-56.633333,3
"GALCYA02",3,6,1439.54678604279,220624.777829496,647.12128205529,515.936303289162,-19.1130526,-14.4510092,470.239789853452,-45.5308804,-39.5655673,4
"GEOMON01",1,2,20.8447274985459,0,20.8447274985459,14.7453003064312,-6.716667,-6.583333,10.5128838774862,-77.55,-77.416667,1
"GEOTRI01",1,4,2807.35655832153,516073.388438556,2388.9944768276,427.569605775991,-5.216667,-1.35,1679.78310233014,-77.733333,-56.366667,3
"GLYSPI04",1,3,1563.70749293344,72935.4290857652,1522.73369610965,1494.96100311029,-14.866667,-1.35,261.490358587604,-59.683333,-56.366667,2
"GRARUF01",1,3,2121.76700395051,396897.109956487,1863.99881267916,1562.14907151756,-33,-18.9,803.705973787851,-58.5,-48.3,3
"GRARUF02",1,6,5277.38742515053,3244518.01831014,2688.32898727403,1840.10295163769,-19.566667,-2.932778,1842.9001857104,-64.466667,-41.011001,5
"GURUF01",1,2,85.7422226656291,0,85.7422226656291,79.8416316064087,-5.72,-4.998,22.2347962750813,-63.217,-62.935,2
"GYMSAL03",1,2,4321.82945080921,0,4321.82945080921,3129.01597124274,-23.651383,4.633333,2154.96850546404,-74.083333,-46.619467,2
"Haemoproteusvireonis",1,2,1327.72171015235,0,1327.72171015235,1256.90599492886,-6.683333,4.683333,303.531754593554,-77.683333,-73.833333,2
"HEMFRO01",1,2,1358.54579181886,0,1358.54579181886,990.701352280824,-14.50911,-5.5524107,669.03029041582,-43.59298,-35.103905,2
"HYPSTR05",1,2,738.825422156295,0,738.825422156295,114.638195968982,-5.72,-4.683333,518.958432273607,-63.217,-56.633333,2
"HYREC01",1,4,3111.68435343942,1114475.55902287,1835.61157802454,1178.50542841868,-30.205564,-19.566667,1101.75568549664,-57.495736,-43.5049448,4
"ISLGUT01",1,2,1102.65284970843,0,1102.65284970843,108.737194950724,-4.683333,-3.7,778.785827818241,-56.633333,-46.75,2
"KNIPOE01",1,3,617.141419956758,43037.5306089944,446.559503341119,355.991753538113,-19.4724319,-16.2559998,277.888870636169,-44.5356927,-41.011001,1
"LEAMA01",3,2,1145.41927965063,0,1145.41927965063,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2
"LEPCOR01",1,3,2508.75608534756,66321.1973644002,2494.73828381423,1410.18656326535,-14.866667,-2.116667,1473.75894051469,-77.733333,-59,2
"LEPCOR02",1,5,3544.94943151452,1258927.84539531,2182.57675055945,1306.82313802859,-12.216667,-0.4,1446.34490032667,-77.733333,-59.35,5
"LEPCOR03",3,2,398.038834310145,0,398.038834310145,18.2092803664593,-4.998,-4.833333,282.642844840554,-62.935,-59.35,2
"LEPNAT02",1,5,5491.30696054708,3489437.05750785,3195.84961885705,3193.62547630441,-30.205564,-1.35,1389.17787680017,-57.495736,-39.841985,4
"LEPRUF02",5,2,339.065219525597,0,339.065219525597,199.726255519453,-16.2559998,-14.4510092,201.209791413561,-43.5630135,-41.011001,2
"LEPVIL01",1,2,1145.41423065192,0,1145.41423065192,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2
"LinhagemNova",1,2,139.149409767775,0,139.149409767775,118.018585286793,-14.866667,-13.8,53.8784847045697,-59.683333,-59,1
"MACPYR02",1,5,1917.6230671996,435087.577702815,1376.17603611884,957.45323925614,-21.1658279,-12.5143471,731.857579181601,-47.45862,-38.1715148,4
"MIOSTR01",1,2,1166.23238503572,0,1166.23238503572,132.758410673481,-16.5630651,-15.3633507,852.851820927424,-56.355506,-45.5308804,2
"MOLBAD01",1,5,3232.35532552877,915965.272960525,2925.08651600443,683.749646995551,-6.583333,-0.4,2037.25227059876,-77.55,-51.6,4
"MYARAL01",1,6,2227.87154518361,481171.639788735,1976.03530377025,1871.04355529187,-16.466667,0.45,470.346389394016,-56.633333,-50.666667,3
"MYIFER01",1,2,881.274790594896,0,881.274790594896,291.136738115078,-15.533333,-12.90198,607.523252467696,-47.55,-39.841985,2
"MYISWA01",2,7,7797.71043902399,4738852.21248039,6062.30884015023,1998.48343623033,-18.4526633,-0.385267,4194.01412413964,-91.51215,-37.266667,6
"MYITIR01",1,2,1145.41867870797,0,1145.41867870797,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2
"MYMAC02",2,5,2250.57145082753,531392.048924966,1566.77082279069,1502.38291131481,-15.533333,-1.95,738.120365519232,-56.916667,-47.55,4
"MYRAXI01",5,3,2050.10545141239,428318.908007172,1805.34344424037,941.922328925682,-12.216667,-3.7,1101.16982991454,-60.733333,-46.75,3
"MYRAXI06",1,2,2048.15199458252,0,2048.15199458252,597.179926228814,-9.1,-3.7,1394.10885835471,-64.466667,-46.75,2
"MYRFOR03",1,2,3721.04971754304,0,3721.04971754304,2167.34700108126,-26.3,-6.716667,2238.01183716524,-77.416667,-48.883333,2
"MYRHEM02",2,2,598.582744471145,0,598.582744471145,568.004270173989,-5.72,-0.583333,134.01090665813,-64.916667,-63.217,2
"MYRLON04",1,6,3554.70923885173,1294029.45586275,2378.91737703892,962.080735310896,-9.1,-0.4,1679.78310233014,-77.733333,-56.366667,4
"MYRMAX01",6,3,2412.74902811134,50779.8184208727,2389.00321285464,329.893749681849,-5.1,-2.116667,1674.57270829572,-77.733333,-56.433333,3
"MYRMYO09",1,3,725.526983856448,50173.1171084758,647.121572577251,228.218676901226,-17.657674,-15.5954324,470.239789853452,-45.5308804,-39.5655673,3
"MYRSCH01",1,2,199.239335660914,0,199.239335660914,40.5723755055898,-15.533333,-15.166667,143.235443219638,-47.55,-45.733333,1
"MYSWA01",3,4,1724.3503353004,363385.65950496,1201.89420435294,853.779871787077,-23.029538,-15.316667,655.45476863026,-55.866667,-47.55,3
"NEOFAS01",2,4,214.222571316191,1493.72707254703,200.600162554459,40.5723755055898,-15.533333,-15.166667,146.013622693629,-47.5852374,-45.733333,1
"NYMAC01",1,4,2539.7666166151,755740.320112873,1590.17530534631,1502.38291131481,-15.533333,-1.95,725.612217308308,-56.757767,-47.55,3
