"","Lineage_Name","site","n_sites","n_bird_individuals","n_status.x","riqueza","n_biomas","n_regioes","parasiteGenus","n_status.y","Host_Status"
"160","GALLUS01","Salto_da_Divisa",1,3,1,1,1,1,"Plasmodium",1,"R"
"161","GLYSPI06","Gui2",1,3,1,1,1,1,"Plasmodium",2,"R_PM"
"162","HYPSTR04","Rond1",1,3,1,3,1,1,"Plasmodium",1,"R"
"163","ICTCAY01","Pan1",1,3,1,1,1,1,"Plasmodium",1,"R"
"164","ILMIL01","Nova_Lima",1,3,1,2,1,1,"Plasmodium",1,"R"
"165","LEAMA01","Felixlandia",1,3,1,1,1,1,"Plasmodium",1,"R"
"166","LECOR02","CLBI-Parnamirim/RN",1,3,1,3,1,1,"Plasmodium",1,"R"
"167","LEPCOR04","Rond3",1,3,1,3,1,1,"Plasmodium",1,"R"
"168","MYFUM01","Sierra_Nevada_de_Santa_Marta",1,3,1,3,1,1,"Leucocytozoon",1,"R"
"169","MYIFLA02","Sierra_Nevada_de_Santa_Marta",1,3,2,3,1,1,"Leucocytozoon",2,"R_M"
"170","MYITYR01","Ser1",1,3,1,1,1,1,"Plasmodium",2,"R_PM"
"171","MYRAXI01","Xing1",1,3,1,2,1,1,"Plasmodium",1,"R"
"172","MYRMAX01","Gui2",1,3,1,1,1,1,"Plasmodium",1,"R"
"173","MYSWA01","Bocaiuva",1,3,2,2,1,1,"Plasmodium",2,"PM"
"174","NEOFAS01","Bra1",1,3,1,1,1,1,"Plasmodium",1,"R"
"175","NYMAC01","CLBI-Parnamirim/RN",1,3,1,3,1,1,"Haemoproteus",1,"R"
"176","NYSMAC01","Xing1",1,3,1,2,1,1,"Haemoproteus",1,"R"
"177","NYSMAC03","ESEC-Serra_Negra_do_Norte/RN",1,3,2,2,1,1,"Haemoproteus",2,"R_PM"
"178","PADOM09","Aeroporto_Viracopos",1,3,2,2,1,1,"Plasmodium",3,"R_PM_M"
"179","PADOM09","Bocaiuva",1,3,2,2,1,1,"Plasmodium",3,"R_PM_M"
"180","PADOM09","Brasilandia_de_Minas",1,3,2,2,1,1,"Plasmodium",3,"R_PM_M"
"181","PADOM09","Cha1",1,3,1,2,1,1,"Plasmodium",3,"R_PM_M"
"182","PADOM09","Pan1",1,3,1,3,1,1,"Plasmodium",3,"R_PM_M"
"183","PADOM09","Salto_da_Divisa",1,3,2,3,1,1,"Plasmodium",3,"R_PM_M"
"184","PADOM11","Aeroporto_de_BSB",1,3,1,2,1,1,"Plasmodium",2,"R_PM"
"185","PADOM11","Bra1",1,3,1,2,1,1,"Plasmodium",2,"R_PM"
"186","PADOM11","Gra1",1,3,1,1,1,1,"Plasmodium",2,"R_PM"
"187","PADOM11","Jequitinhonha",1,3,1,1,1,1,"Plasmodium",2,"R_PM"
"188","PAPOL07","Mata_Seca",1,3,2,3,1,1,"Haemoproteus",2,"R_PM"
"189","PHPAT01","Mata_Seca",1,3,1,3,1,1,"Plasmodium",3,"R_PM_M"
"190","PYLEU01","Salto_da_Divisa",1,3,1,1,1,1,"Plasmodium",1,"R"
"191","SGS1","Pantanos_de_Villa_wtland_Reserve",1,3,1,3,1,1,"Plasmodium",1,"R"
"192","TACRUB02","Nat1",1,3,1,1,1,1,"Haemoproteus",1,"R"
"193","TANICT01","Hual4",1,3,1,3,1,1,"Haemoproteus",1,"R"
"194","THACAE01","Gui2",1,3,1,1,1,1,"Plasmodium",1,"R"
"195","THAMAE01","Ina3",1,3,1,3,1,1,"Plasmodium",1,"R"
"196","THAMAE01","Tap1",1,3,1,3,1,1,"Plasmodium",1,"R"
"197","THASAT10","Rond4",1,3,1,1,1,1,"Plasmodium",1,"R"
"198","THCAE01","Nova_Lima",1,3,1,1,1,1,"Plasmodium",1,"R"
"199","THSAY01","Bocaiuva",1,3,1,2,1,1,"Plasmodium",1,"R"
"200","TROAED15","Cerro_Bosco",1,3,1,1,1,1,"Haemoproteus",2,"R_M"
"201","TROAED15","Yanayacu",1,3,1,1,1,1,"Haemoproteus",2,"R_M"
"202","TUAMA01","Bocaiuva",1,3,2,2,1,1,"Plasmodium",2,"R_PM"
"203","TURALB03","Seb1",1,3,1,2,1,1,"Plasmodium",2,"R_PM"
"204","TURUF01","Aeroporto_de_BSB",1,3,2,2,1,1,"Plasmodium",2,"R_PM"
"205","TURUF03","Saj1",1,3,1,1,1,1,"Plasmodium",1,"R"
"206","VIOLI06","Aiu1",1,3,1,2,1,1,"Haemoproteus",2,"R_M"
"207","VOLJAC02","Cha1",1,3,1,3,1,1,"Plasmodium",1,"R"
"208","ARBRU02","Hual3",1,2,1,1,1,1,"Haemoproteus",1,"R"
"209","ARRTAC01","Rond1",1,2,1,1,1,1,"Plasmodium",2,"R_M"
"210","AUTPAR01","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"211","AUTPAR01","Rond2",1,2,1,2,1,1,"Plasmodium",1,"R"
"212","BAEBIC02","Cedral",1,2,1,2,1,1,"Plasmodium",2,"R_M"
"213","BAEBIC02","Hual3",1,2,1,2,1,1,"Plasmodium",2,"R_M"
"214","BAFLA03","Brasilandia_de_Minas",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"215","BAFLA03","Manga",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"216","BAFLA03","Parque_Nacional_de_Brasí_lia",1,2,2,2,1,1,"Plasmodium",3,"R_PM_M"
"217","BAFLA04","Aiu1",1,2,1,2,1,1,"Plasmodium",1,"R"
"218","BAFLA04","Nat1",1,2,1,1,1,1,"Plasmodium",1,"R"
"219","BAFLA04","Salto_da_Divisa",1,2,1,2,1,1,"Plasmodium",1,"R"
"220","BAFLA04","Ser1",1,2,1,1,1,1,"Plasmodium",1,"R"
"221","BAHYP01","Aeroporto_de_BSB",1,2,1,2,1,1,"Plasmodium",1,"R"
"222","CALON01","CLBI-Parnamirim/RN",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"223","CANLEU01","Rond2",1,2,1,2,1,1,"Plasmodium",1,"R"
"224","CAOBS01","Gra1",1,2,1,1,1,1,"Plasmodium",1,"R"
"225","CATUST05","Hual1",1,2,1,2,1,1,"Plasmodium",2,"R_M"
"226","COLPAS04","Mil1",1,2,1,1,1,1,"Haemoproteus",2,"R_PM"
"227","COLPIC01","Sta1",1,2,2,2,1,1,"Haemoproteus",2,"R_M"
"228","COLPLU01","Hual4",1,2,2,2,1,1,"Haemoproteus",3,"R_PM_M"
"229","COLSQU03","Mil1",1,2,1,1,1,1,"Haemoproteus",1,"R"
"230","COPIL01","Bocaiuva",1,2,1,1,1,1,"Plasmodium",1,"R"
"231","CORPIL02","Ser1",1,2,1,1,1,1,"Plasmodium",1,"R"
"232","COSQU01","Felixlandia",1,2,1,1,1,1,"Haemoproteus",1,"R"
"233","COSQU01","Manga",1,2,1,1,1,1,"Haemoproteus",1,"R"
"234","COTAL01","Mata_Seca",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"235","CYPHIR04","Gra1",1,2,1,1,1,1,"Haemoproteus",1,"R"
"236","DENPET03","Aeroporto_de_BSB",1,2,2,2,1,1,"Plasmodium",3,"R_PM_M"
"237","DENPET03","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"238","DENPET03","RondIL",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"239","DETUR01","Ina3",1,2,1,1,1,1,"Plasmodium",1,"R"
"240","DIGCAE01","Bosque_Palacio",1,2,1,2,1,1,"Haemoproteus",1,"R"
"241","DIGCAE01","Hual2",1,2,1,2,1,1,"Haemoproteus",1,"R"
"242","DYSMEN02","Hual4",1,2,1,2,1,1,"Haemoproteus",1,"R"
"243","ELALB01","CLBI-Parnamirim/RN",1,2,2,2,1,1,"Haemoproteus",3,"R_PM_M"
"244","ELALB01","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1,"Haemoproteus",3,"R_PM_M"
"245","ELFLA01","Aracruz",1,2,2,2,1,1,"Haemoproteus",2,"R_PM"
"246","FOCOL01","Sooretama",1,2,1,1,1,1,"Plasmodium",1,"R"
"247","FOMEL01","Mata_Seca",1,2,1,1,1,1,"Plasmodium",1,"R"
"248","FORANA02","Hual5",1,2,1,1,1,1,"Plasmodium",1,"R"
"249","FORCOL06","Ina1",1,2,1,1,1,1,"Plasmodium",1,"R"
"250","FOSER01","Caratinga",1,2,1,2,1,1,"Plasmodium",1,"R"
"251","FURLEU01","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"252","FURLEU01","Pan1",1,2,1,1,1,1,"Plasmodium",1,"R"
"253","GALLUS01","Sooretama",1,2,1,1,1,1,"Plasmodium",1,"R"
"254","GEOTRI02","Hual5",1,2,1,2,1,1,"Plasmodium",1,"R"
"255","GEOTRY01","Gui2",1,2,1,1,1,1,"Haemoproteus",1,"R"
"256","GLYSPI06","Jau1",1,2,1,1,1,1,"Plasmodium",2,"R_PM"
"257","GRW06","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"258","GRW06","Ina3",1,2,1,1,1,1,"Plasmodium",1,"R"
"259","HEAME01","Chingaza_NNP,_Palacio_Forest",1,2,2,2,1,1,"Leucocytozoon",2,"R_M"
"260","HEMATR01","Bosque_Palacio",1,2,1,2,1,1,"Haemoproteus",1,"R"
"261","HEMFRO01","Hual3",1,2,1,1,1,1,"Haemoproteus",1,"R"
"262","Hp1477/478","ESEC-Serra_Negra_do_Norte/RN",1,2,2,2,1,1,"Haemoproteus",2,"R_PM"
"263","Hp2458/478","ESEC-Serra_Negra_do_Norte/RN",1,2,2,2,1,1,"Haemoproteus",2,"R_PM"
"264","HYPSTR07","Rond1",1,2,1,2,1,1,"Plasmodium",1,"R"
"265","ICTCAY01","Nova_Lima",1,2,1,1,1,1,"Plasmodium",1,"R"
"266","ICTCAY01","Saj1",1,2,1,2,1,1,"Plasmodium",1,"R"
"267","LEAMA01","Jequitinhonha",1,2,1,1,1,1,"Plasmodium",1,"R"
"268","LEPCOR03","Jau1",1,2,1,2,1,1,"Haemoproteus",2,"R_PM"
"269","LEPCOR04","Gui1",1,2,1,2,1,1,"Plasmodium",1,"R"
"270","LEPNAT01","Rond5",1,2,1,1,1,1,"Plasmodium",1,"R"
"271","MASTR01","Aracruz",1,2,1,2,1,1,"Plasmodium",1,"R"
"272","MASTR01","Fazenda_St._Maria",1,2,1,1,1,1,"Plasmodium",1,"R"
"273","MIMTRI01","Esp1",1,2,2,2,1,1,"Plasmodium",2,"R_M"
"274","MYARAL01","Hual3",1,2,1,1,1,1,"Plasmodium",1,"R"
"275","MYCAME02","Pan2",1,2,1,2,1,1,"Plasmodium",2,"R_M"
"276","MYITIR01","ESEC-Serra_Negra_do_Norte/RN",1,2,1,1,1,1,"Plasmodium",1,"R"
"277","MYITYR01","Bel1",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"278","MYITYR01","Felixlandia",1,2,1,1,1,1,"Plasmodium",2,"R_PM"
"279","MYRAXI01","Rond1",1,2,1,2,1,1,"Plasmodium",1,"R"
"280","MYRAXI01","Tap1",1,2,1,1,1,1,"Plasmodium",1,"R"
"281","MYRAXI03","Bel1",1,2,1,1,1,1,"Plasmodium",1,"R"
"282","MYRAXI03","Rond1",1,2,1,1,1,1,"Plasmodium",1,"R"
"283","MYRAXI03","Rond4",1,2,1,1,1,1,"Plasmodium",1,"R"
"284","MYRLON06","Xing1",1,2,1,2,1,1,"Plasmodium",1,"R"
"285","NEOFAS02","Aeroporto_de_BSB",1,2,1,2,1,1,"Haemoproteus",1,"R"
"286","NEOFAS03","Parque_Nacional_de_Brasí_lia",1,2,2,2,1,1,"Haemoproteus",2,"PM"
"287","NEPIL01","Salto_da_Divisa",1,2,1,2,1,1,"Haemoproteus",1,"R"
"288","NYCNYC01","Sao_Paulo_Zoo",1,2,1,2,1,1,"Plasmodium",1,"R"
"289","PACPEC02","Tiputini",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"290","PADOM09","Aracruz",1,2,2,2,1,1,"Plasmodium",3,"R_PM_M"
"291","PADOM09","Bel1",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"292","PADOM09","Canela",1,2,1,1,1,1,"Plasmodium",3,"R_PM_M"
"293","PADOM09","Gra1",1,2,1,1,1,1,"Plasmodium",3,"R_PM_M"
"294","PADOM09","Gui2",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"295","PADOM09","Huacapongo",1,2,1,1,1,1,"Plasmodium",3,"R_PM_M"
"296","PADOM09","Joi1",1,2,1,1,1,1,"Plasmodium",3,"R_PM_M"
"297","PADOM09","Rond4",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"298","PADOM09","Sfr1",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"299","PADOM11","Bel1",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"300","PADOM11","Brasilandia_de_Minas",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"301","PADOM11","Felixlandia",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"302","PADOM11","Jau1",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"303","PADOM11","Nova_Lima",1,2,1,1,1,1,"Plasmodium",2,"R_PM"
"304","PADOM17","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1,"Plasmodium",3,"R_PM_M"
"305","PAMIT01","Mata_Seca",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"306","PAPOL03","CLBI-Parnamirim/RN",1,2,2,2,1,1,"Haemoproteus",3,"R_PM_M"
"307","PAPOL03","Manga",1,2,1,1,1,1,"Haemoproteus",3,"R_PM_M"
"308","PHAMAL02","Rond1",1,2,1,2,1,1,"Plasmodium",1,"R"
"309","PHASYR01","Mindo",1,2,1,2,1,1,"Haemoproteus",1,"R"
"310","PHASYR02","Mindo",1,2,1,2,1,1,"Plasmodium",1,"R"
"311","PHLNIG03","Bel1",1,2,1,2,1,1,"Plasmodium",1,"R"
"312","PHPAT01","Salto_da_Divisa",1,2,2,2,1,1,"Plasmodium",3,"R_PM_M"
"313","PIPFAS02","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"314","PIRFLA05","Gra1",1,2,1,1,1,1,"Haemoproteus",1,"R"
"315","PREGUT01","Hual4",1,2,1,1,1,1,"Plasmodium",1,"R"
"316","PREGUT01","Hual5",1,2,1,1,1,1,"Plasmodium",1,"R"
"317","PSOOCH01","Ime1",1,2,1,1,1,1,"Plasmodium",1,"R"
"318","RAMCAR01","Bel1",1,2,1,2,1,1,"Plasmodium",2,"R_PM"
"319","SALATR01","Bra1",1,2,1,1,1,1,"Plasmodium",1,"R"
"320","SUISUI03","Bra1",1,2,1,1,1,1,"Haemoproteus",1,"R"
"321","TACPHO01","Rond5",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"322","TACRUB01","Rond5",1,2,1,1,1,1,"Plasmodium",1,"R"
"323","TANIG01","El_Bosque",1,2,1,2,1,1,"Haemoproteus",2,"R_M"
"324","TANIG01","Hual4",1,2,1,2,1,1,"Haemoproteus",2,"R_M"
"325","TANIG01","Podocarpus_NP",1,2,1,2,1,1,"Haemoproteus",2,"R_M"
"326","TARUF01","Brasilandia_de_Minas",1,2,1,1,1,1,"Plasmodium",1,"R"
"327","TASCH01","Wisui",1,2,1,2,1,1,"Haemoproteus",1,"R"
"328","THACAE01","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"329","THACAE01","Rond1",1,2,1,2,1,1,"Plasmodium",1,"R"
"330","THACAE01","Wisui",1,2,1,2,1,1,"Plasmodium",1,"R"
"331","THACAE08","Bel1",1,2,1,1,1,1,"Plasmodium",1,"R"
"332","THACAE08","Gui2",1,2,1,1,1,1,"Plasmodium",1,"R"
"333","THACAE08","Xing1",1,2,1,2,1,1,"Plasmodium",1,"R"
"334","THAMAE01","Bel1",1,2,1,2,1,1,"Plasmodium",1,"R"
"335","THAMAE01","Ina2",1,2,1,2,1,1,"Plasmodium",1,"R"
"336","THAMAE01","Wisui",1,2,1,2,1,1,"Plasmodium",1,"R"
"337","THAMAE01","Xing1",1,2,1,2,1,1,"Plasmodium",1,"R"
"338","THAMB02","Sooretama",1,2,1,1,1,1,"Plasmodium",1,"R"
"339","THAMB08","Bocaiuva",1,2,1,1,1,1,"Plasmodium",1,"R"
"340","THAMB09","Aracruz",1,2,1,2,1,1,"Plasmodium",1,"R"
"341","THAMUR01","Ina1",1,2,1,1,1,1,"Plasmodium",1,"R"
"342","THPEL01","Mata_Seca",1,2,1,1,1,1,"Plasmodium",1,"R"
"343","THSAY02","Aracruz",1,2,1,1,1,1,"Plasmodium",1,"R"
"344","TOFLA01","Salto_da_Divisa",1,2,1,1,1,1,"Plasmodium",2,"R_PM"
"345","TOFLA03","Aracruz",1,2,1,1,1,1,"Haemoproteus",1,"R"
"346","TREML02","Caratinga",1,2,1,1,1,1,"Plasmodium",1,"R"
"347","TRMEL02","Aracruz",1,2,2,2,1,1,"Plasmodium",2,"R_M"
"348","TRMUS01","Aracruz",1,2,1,1,1,1,"Haemoproteus",1,"R"
"349","TRMUS02","ESEC-Serra_Negra_do_Norte/RN",1,2,1,1,1,1,"Plasmodium",1,"R"
"350","TROAED01","Carhuaz",1,2,1,1,1,1,"Leucocytozoon",1,"M"
"351","TROAED06","San_Pedro_de_Casta",1,2,1,1,1,1,"Leucocytozoon",1,"M"
"352","TROAED12","Sisicaya",1,2,1,1,1,1,"Haemoproteus",1,"M"
"353","TROAED15","Guajalito",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"354","TROAED15","San_Rafael",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"355","TROAED20","Bosque_Palacio",1,2,1,2,1,1,"Haemoproteus",2,"R_M"
"356","TROAED20","Carampoma",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"357","TROAED20","Hual3",1,2,1,1,1,1,"Haemoproteus",2,"R_M"
"358","TROAED20","Sierra_Nevada_de_Santa_Marta",1,2,2,2,1,1,"Haemoproteus",2,"R_M"
"359","TROAED23","Hual5",1,2,1,2,1,1,"Plasmodium",1,"R"
"360","TUAMA01","CLBI-Parnamirim/RN",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"361","TULEU01","Brasilandia_de_Minas",1,2,1,1,1,1,"Plasmodium",2,"R_PM"
"362","TULEU01","Jequitinhonha",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"363","TULEU04","Felixlandia",1,2,1,1,1,1,"Plasmodium",1,"R"
"364","TULEU06","Bocaiuva",1,2,1,1,1,1,"Plasmodium",1,"R"
"365","TULEU06","Jequitinhonha",1,2,1,2,1,1,"Plasmodium",1,"R"
"366","TULEU07","Felixlandia",1,2,2,2,1,1,"Plasmodium",2,"R_PM"
"367","TURUF03","Sfr1",1,2,1,1,1,1,"Plasmodium",1,"R"
"368","VIOLI04","Hual5",1,2,2,2,1,1,"Haemoproteus",2,"R_M"
"369","VOLJAC02","Ser1",1,2,1,1,1,1,"Plasmodium",1,"R"
"370","WILPOE02","Tap2",1,2,1,2,1,1,"Plasmodium",1,"R"
"371","WILPOE17","Bel1",1,2,1,2,1,1,"Plasmodium",1,"R"
"372","WILPOE19","Rond5",1,2,1,1,1,1,"Plasmodium",1,"R"
"373","ZOCAP01","Saj1",1,2,1,1,1,1,"Haemoproteus",1,"R"
"374","ZOCAP14","Ucumari_NP,_La_Pastora",1,2,1,1,1,1,"Haemoproteus",1,"R"
"375","29092","ESEC-Serra_Negra_do_Norte/RN",1,1,1,1,1,1,"Plasmodium",1,"R"
"376","ABUCUJ01","Xing1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"377","ADEMEL01","Yanayacu",1,1,1,1,1,1,"Haemoproteus",1,"R"
"378","AFR025","Hual5",1,1,1,1,1,1,"Haemoproteus",1,"R"
"379","AFR028","Hual5",1,1,1,1,1,1,"Plasmodium",1,"R"
"380","AFR122","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"381","AFR122","Rond2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"382","AFR122","Tap2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"383","AGEBAD02","Esp1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"384","ALEDIA01","Esp1",1,1,1,1,1,1,"Plasmodium",1,"R"
"385","AMABRA01","Pan2",1,1,1,1,1,1,"Plasmodium",1,"R"
"386","ANGAL01","Brasilandia_de_Minas",1,1,1,1,1,1,"Plasmodium",1,"R"
"387","ANIFLA01","Hual1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"388","ANIGN01","Bosque_Palacio",1,1,1,1,1,1,"Haemoproteus",1,"R"
"389","ANSOM01","Ucumari_NP,_La_Pastora",1,1,1,1,1,1,"Haemoproteus",1,"R"
"390","ARAJAN01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"391","ARBRU01","Ucumari_NP,_La_Pastora",1,1,1,1,1,1,"Haemoproteus",1,"R"
"392","ARBRU02","Hual4",1,1,1,1,1,1,"Haemoproteus",1,"R"
"393","ARBRU02","Sierra_Nevada_de_Santa_Marta",1,1,1,1,1,1,"Haemoproteus",1,"R"
"394","ARRTAC01","Ina2",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"395","ARRTAC01","Rond3",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"396","ARRTAC01","Sfr1",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"397","ARRTAC01","Xing1",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"398","ARRTAC02","Rond3",1,1,1,1,1,1,"Plasmodium",1,"R"
"399","ARRTAC05","Xing1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"400","ATLBRU01","Hual3",1,1,1,1,1,1,"Haemoproteus",1,"R"
"401","ATMEL01","Sierra_Nevada_de_Santa_Marta",1,1,1,1,1,1,"Haemoproteus",1,"R"
"402","ATPAL02","Bosque_Palacio",1,1,1,1,1,1,"Haemoproteus",1,"R"
"403","ATTCIN01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"404","AUTINF01","Ime1",1,1,1,1,1,1,"Plasmodium",1,"R"
"405","AUTINF02","Ime1",1,1,1,1,1,1,"Plasmodium",1,"R"
"406","AUTINF03","Ime1",1,1,1,1,1,1,"Plasmodium",1,"R"
"407","AUTOCH01","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"408","AUTOCH02","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"409","AUTOCH03","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"410","AUTPAR01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"411","AUTPAR01","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"412","AUTPAR01","Tap1",1,1,1,1,1,1,"Plasmodium",1,"R"
"413","AUTRUF01","Tap2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"414","BAEBIC02","Hunuco",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"415","BAEBIC02","Laguna_Anantay",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"416","BAEBIC02","Mantaro_Valley",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"417","BAEBIC02","Sianbal",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"418","BAEBIC02","Tullanya",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"419","BAEBIC02","Yanah",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"420","BAFLA01","Nova_Lima",1,1,1,1,1,1,"Plasmodium",1,"R"
"421","BAFLA02","Esp1",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"422","BAFLA02","Felixlandia",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"423","BAFLA02","Salto_da_Divisa",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"424","BAFLA03","Chapada_dos_Guimaraes",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"425","BAFLA03","CLBI-Parnamirim/RN",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"426","BAFLA03","Salto_da_Divisa",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"427","BAFLA04","Cha1",1,1,1,1,1,1,"Plasmodium",1,"R"
"428","BAFLA04","ESEC-Serra_Negra_do_Norte/RN",1,1,1,1,1,1,"Plasmodium",1,"R"
"429","BAFLA05","Brasilandia_de_Minas",1,1,1,1,1,1,"Plasmodium",1,"R"
"430","BAHYP01","Felixlandia",1,1,1,1,1,1,"Plasmodium",1,"R"
"431","BAHYP01","Mata_Seca",1,1,1,1,1,1,"Plasmodium",1,"R"
"432","BASFUL01","Chaucha",1,1,1,1,1,1,"Plasmodium",1,"R"
"433","BASFUL01","La_Joya",1,1,1,1,1,1,"Plasmodium",1,"R"
"434","BASTRI01","Hual4",1,1,1,1,1,1,"Plasmodium",1,"R"
"435","BO6","Varzea_Grande",1,1,1,1,1,1,"Haemoproteus",1,"R"
"436","BUL07","Hual5",1,1,1,1,1,1,"Plasmodium",1,"R"
"437","CAINO01","Chaucha",1,1,1,1,1,1,"Leucocytozoon",1,"R"
"438","CAMRUB01","Bel1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"439","CANLEU01","RondIL",1,1,1,1,1,1,"Plasmodium",1,"R"
"440","CANLEU02","RondIL",1,1,1,1,1,1,"Plasmodium",1,"R"
"441","CANLEU03","RondIL",1,1,1,1,1,1,"Haemoproteus",1,"R"
"442","CANLEU04","RondIL",1,1,1,1,1,1,"Haemoproteus",1,"R"
"443","CAOBS01","Felixlandia",1,1,1,1,1,1,"Plasmodium",1,"R"
"444","CAOBS01","Nova_Lima",1,1,1,1,1,1,"Plasmodium",1,"R"
"445","CARUF01","Salto_da_Divisa",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"446","CASFUS01","Aiu1",1,1,1,1,1,1,"Plasmodium",1,"PM"
"447","CATUST05","Bosque_Palacio",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"448","CATUST05","Hual4",1,1,1,1,1,1,"Plasmodium",2,"R_M"
"449","CATUST06","Hual1",1,1,1,1,1,1,"Plasmodium",1,"R"
"450","CATUST06","Hual5",1,1,1,1,1,1,"Plasmodium",1,"R"
"451","CATUST21","Bogota",1,1,1,1,1,1,"Plasmodium",1,"M"
"452","CERCIN01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"453","CERCIN02","Hual4",1,1,1,1,1,1,"Plasmodium",1,"R"
"454","CERCIN02","Ina3",1,1,1,1,1,1,"Plasmodium",1,"R"
"455","CERCIN03","Ina3",1,1,1,1,1,1,"Plasmodium",1,"R"
"456","CERCIN04","Ina3",1,1,1,1,1,1,"Haemoproteus",1,"R"
"457","CERERY01","Ime1",1,1,1,1,1,1,"Plasmodium",1,"R"
"458","CERERY01","Ina1",1,1,1,1,1,1,"Plasmodium",1,"R"
"459","CERRUB01","Rond3",1,1,1,1,1,1,"Plasmodium",1,"R"
"460","CERSER01","Ina1",1,1,1,1,1,1,"Plasmodium",1,"R"
"461","CHACAM01","Henri_Pittier_National_Park",1,1,1,1,1,1,"Plasmodium",1,"R"
"462","CHACAM03","Sfr1",1,1,1,1,1,1,"Plasmodium",1,"R"
"463","CHCAM01","Jequitinhonha",1,1,1,1,1,1,"Plasmodium",1,"R"
"464","CHLAEN01","Rond3",1,1,1,1,1,1,"Plasmodium",1,"R"
"465","CHLAME01","Pan2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"466","CHLIND01","Gui1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"467","CHLOP01","Henri_Pittier_National_Park",1,1,1,1,1,1,"Haemoproteus",1,"R"
"468","CHLOP01","Hunuco",1,1,1,1,1,1,"Haemoproteus",1,"R"
